Date,Winning Numbers,(As Drawn),Thunderball
15/06/2012,11, 26, 34, 27, 30,11
16/06/2012,26, 10, 18, 37, 31,8
20/06/2012,2, 29, 10, 13, 26,9
22/06/2012,4, 34, 25, 16, 20,11
23/06/2012,13, 33, 38, 30, 11,8
27/06/2012,18, 19, 3, 16, 38,7
29/06/2012,25, 15, 28, 4, 6,14
30/06/2012,12, 21, 6, 15, 3,12
04/07/2012,25, 8, 15, 32, 20,10
06/07/2012,15, 12, 29, 19, 18,10
07/07/2012,33, 24, 1, 18, 7,3
11/07/2012,1, 13, 32, 16, 26,13
13/07/2012,2, 22, 14, 29, 27,12
14/07/2012,18, 9, 12, 39, 36,5
18/07/2012,28, 38, 20, 23, 5,12
20/07/2012,28, 6, 21, 9, 12,1
21/07/2012,10, 23, 27, 8, 20,2
25/07/2012,27, 3, 9, 6, 5,8
27/07/2012,35, 1, 33, 28, 32,13
28/07/2012,13, 32, 9, 1, 29,5
01/08/2012,22, 9, 18, 6, 26,14
03/08/2012,6, 38, 7, 25, 13,11
04/08/2012,3, 15, 32, 28, 29,13
08/08/2012,25, 14, 27, 31, 26,11
10/08/2012,35, 8, 34, 1, 17,8
11/08/2012,3, 28, 23, 26, 17,12
15/08/2012,32, 5, 20, 30, 22,4
17/08/2012,21, 33, 7, 20, 2,12
18/08/2012,10, 13, 29, 4, 7,3
22/08/2012,13, 1, 21, 4, 15,10
24/08/2012,20, 17, 10, 12, 31,6
25/08/2012,4, 3, 11, 23, 10,5
29/08/2012,13, 10, 39, 20, 17,12
31/08/2012,25, 2, 12, 24, 21,8
01/09/2012,23, 30, 19, 1, 8,8
05/09/2012,3, 23, 19, 5, 9,11
07/09/2012,32, 8, 15, 13, 22,8
08/09/2012,20, 16, 25, 28, 23,2
12/09/2012,36, 18, 23, 17, 39,7
14/09/2012,18, 16, 5, 21, 30,14
15/09/2012,28, 31, 37, 10, 11,14
19/09/2012,27, 33, 35, 26, 28,13
21/09/2012,8, 4, 5, 34, 17,4
22/09/2012,28, 33, 32, 2, 18,7
26/09/2012,2, 14, 21, 3, 37,9
28/09/2012,39, 19, 32, 27, 18,12
29/09/2012,13, 20, 9, 16, 2,3
03/10/2012,29, 39, 12, 10, 15,11
05/10/2012,20, 2, 25, 32, 11,6
06/10/2012,1, 39, 33, 10, 35,4
10/10/2012,30, 38, 2, 35, 34,12
12/10/2012,15, 39, 12, 27, 20,4
13/10/2012,25, 14, 7, 23, 36,4
17/10/2012,31, 9, 33, 2, 16,11
19/10/2012,25, 8, 30, 2, 9,7
20/10/2012,21, 3, 27, 18, 34,5
24/10/2012,6, 29, 16, 34, 7,14
26/10/2012,4, 16, 25, 5, 28,7
27/10/2012,28, 19, 16, 15, 6,10
31/10/2012,34, 33, 19, 10, 21,3
02/11/2012,29, 26, 34, 20, 24,7
03/11/2012,38, 7, 30, 8, 39,11
07/11/2012,8, 3, 6, 7, 39,3
09/11/2012,24, 27, 31, 18, 33,4
10/11/2012,12, 21, 32, 38, 28,12
14/11/2012,23, 3, 20, 26, 30,8
16/11/2012,18, 14, 37, 34, 8,6
17/11/2012,8, 20, 36, 38, 31,1
21/11/2012,31, 26, 15, 11, 35,4
23/11/2012,2, 6, 19, 18, 4,12
24/11/2012,11, 29, 32, 36, 18,11
28/11/2012,29, 33, 14, 19, 12,6
30/11/2012,10, 34, 24, 18, 19,12
01/12/2012,25, 32, 26, 31, 17,1
05/12/2012,12, 38, 24, 14, 9,14
07/12/2012,10, 30, 39, 15, 2,2
08/12/2012,34, 29, 19, 10, 13,2
12/12/2012,4, 9, 21, 27, 39,9
14/12/2012,29, 34, 9, 22, 15,4
15/12/2012,22, 15, 39, 31, 23,9
19/12/2012,31, 10, 17, 37, 4,10
21/12/2012,34, 2, 23, 21, 19,11
22/12/2012,24, 30, 19, 21, 18,12
26/12/2012,32, 3, 31, 36, 2,13
28/12/2012,39, 38, 8, 7, 6,9
29/12/2012,35, 30, 36, 38, 12,12
02/01/2013,38, 2, 32, 17, 34,6
04/01/2013,24, 28, 14, 6, 17,2
05/01/2013,39, 3, 34, 10, 27,11
09/01/2013,12, 24, 4, 11, 14,8
11/01/2013,25, 3, 7, 21, 37,5
12/01/2013,39, 26, 30, 31, 6,12
16/01/2013,31, 2, 27, 17, 32,8
18/01/2013,23, 1, 22, 5, 30,8
19/01/2013,26, 8, 22, 6, 24,11
23/01/2013,20, 27, 13, 29, 32,12
25/01/2013,35, 8, 12, 18, 23,2
26/01/2013,25, 34, 4, 20, 33,4
30/01/2013,22, 31, 24, 21, 28,2
01/02/2013,32, 13, 33, 5, 17,4
02/02/2013,6, 16, 33, 17, 28,1
06/02/2013,6, 14, 31, 27, 35,1
08/02/2013,25, 27, 23, 7, 35,5
09/02/2013,9, 22, 6, 38, 8,8
13/02/2013,39, 14, 8, 4, 38,12
15/02/2013,20, 38, 30, 31, 9,2
16/02/2013,31, 4, 22, 18, 28,6
20/02/2013,24, 11, 1, 6, 14,4
22/02/2013,21, 8, 26, 32, 2,6
23/02/2013,33, 38, 20, 18, 26,1
27/02/2013,8, 25, 31, 2, 29,13
01/03/2013,15, 18, 14, 22, 6,14
02/03/2013,23, 20, 29, 3, 38,11
06/03/2013,29, 36, 1, 26, 16,9
08/03/2013,28, 21, 22, 5, 13,12
09/03/2013,36, 34, 9, 15, 31,12
13/03/2013,32, 31, 21, 22, 19,4
15/03/2013,10, 18, 35, 7, 30,5
16/03/2013,1, 26, 29, 19, 22,1
20/03/2013,7, 14, 15, 30, 3,5
22/03/2013,33, 17, 19, 25, 6,1
23/03/2013,18, 13, 7, 28, 33,3
27/03/2013,39, 31, 9, 17, 10,5
29/03/2013,33, 26, 20, 10, 6,9
30/03/2013,3, 20, 23, 25, 32,12
03/04/2013,19, 7, 11, 13, 22,14
05/04/2013,22, 2, 17, 19, 32,7
06/04/2013,17, 27, 18, 6, 8,1
10/04/2013,33, 13, 32, 31, 3,11
12/04/2013,37, 36, 19, 8, 6,11
13/04/2013,15, 9, 3, 11, 19,12
17/04/2013,19, 2, 29, 12, 25,2
19/04/2013,7, 10, 9, 29, 13,5
20/04/2013,32, 29, 36, 31, 27,2
24/04/2013,33, 5, 36, 2, 20,12
26/04/2013,5, 20, 6, 14, 7,7
27/04/2013,28, 34, 17, 30, 5,12
01/05/2013,28, 5, 25, 29, 22,5
03/05/2013,9, 29, 38, 30, 13,14
04/05/2013,31, 30, 3, 24, 37,5
08/05/2013,28, 6, 20, 17, 9,9
10/05/2013,7, 27, 31, 15, 20,11
11/05/2013,27, 11, 17, 31, 22,7
15/05/2013,28, 11, 38, 22, 32,6
17/05/2013,19, 1, 3, 21, 13,11
18/05/2013,29, 5, 20, 3, 23,13
22/05/2013,20, 14, 13, 7, 36,10
24/05/2013,26, 39, 31, 18, 10,6
25/05/2013,7, 29, 31, 5, 21,7
29/05/2013,32, 9, 2, 3, 19,10
31/05/2013,35, 23, 14, 8, 39,14
01/06/2013,39, 13, 26, 22, 15,8
05/06/2013,17, 6, 39, 27, 15,5
07/06/2013,8, 6, 10, 35, 24,1
08/06/2013,31, 38, 20, 19, 2,10
