
Date, Winning Numbers (As Drawn), Lucky Stars (As Drawn)
21/05/2013, 29, 19, 8, 28, 7, 9, 5
24/05/2013, 22, 17, 40, 7, 27, 2, 3
28/05/2013, 34, 38, 13, 8, 26, 3, 11
31/05/2013, 29, 43, 28, 34, 27, 10, 5
04/06/2013, 34, 33, 40, 31, 37, 6, 1
07/06/2013, 14, 26, 45, 50, 7, 2, 7
11/06/2013, 7, 9, 25, 5, 41, 5, 1
14/06/2013, 41, 25, 48, 10, 47, 6, 10
18/06/2013, 24, 33, 17, 41, 44, 11, 1
21/06/2013, 30, 11, 36, 45, 10, 1, 2
25/06/2013, 4, 13, 35, 27, 5, 2, 1
28/06/2013, 15, 1, 47, 28, 35, 7, 1
02/07/2013, 14, 13, 11, 28, 30, 4, 5
05/07/2013, 28, 4, 33, 12, 15, 1, 10
09/07/2013, 18, 16, 38, 49, 31, 10, 4
12/07/2013, 26, 42, 33, 18, 32, 3, 2
16/07/2013, 50, 34, 47, 19, 23, 4, 6
19/07/2013, 24, 35, 13, 26, 16, 5, 2
23/07/2013, 19, 14, 44, 16, 15, 4, 5
26/07/2013, 23, 38, 29, 12, 49, 4, 3
30/07/2013, 3, 14, 4, 11, 43, 1, 6
02/08/2013, 42, 36, 48, 37, 21, 7, 4
06/08/2013, 17, 47, 16, 49, 31, 3, 11
09/08/2013, 24, 4, 23, 7, 9, 9, 8
13/08/2013, 5, 20, 47, 17, 50, 1, 4
16/08/2013, 39, 20, 24, 37, 27, 5, 10
20/08/2013, 42, 11, 50, 49, 5, 8, 11
23/08/2013, 30, 37, 26, 6, 1, 8, 5
27/08/2013, 7, 40, 38, 43, 30, 6, 2
30/08/2013, 45, 25, 17, 36, 2, 5, 9
03/09/2013, 5, 18, 16, 42, 9, 7, 9
06/09/2013, 25, 11, 32, 23, 37, 7, 4
10/09/2013, 7, 28, 30, 14, 11, 2, 10
13/09/2013, 14, 27, 6, 4, 33, 10, 5
17/09/2013, 44, 17, 21, 42, 13, 11, 9
20/09/2013, 5, 11, 38, 35, 45, 2, 3
24/09/2013, 43, 20, 10, 28, 26, 9, 11
27/09/2013, 41, 15, 11, 38, 43, 6, 2
01/10/2013, 19, 44, 48, 25, 23, 9, 8
04/10/2013, 50, 35, 6, 24, 20, 5, 10
08/10/2013, 23, 24, 33, 42, 26, 5, 3
11/10/2013, 6, 17, 23, 12, 43, 5, 9
15/10/2013, 39, 18, 27, 43, 47, 7, 4
18/10/2013, 25, 36, 47, 46, 5, 2, 6
22/10/2013, 39, 33, 29, 44, 41, 9, 11
25/10/2013, 2, 31, 38, 3, 10, 6, 10
29/10/2013, 32, 9, 10, 30, 37, 6, 2
01/11/2013, 19, 33, 29, 30, 7, 3, 8
05/11/2013, 35, 38, 12, 13, 6, 2, 3
08/11/2013, 35, 20, 42, 43, 28, 8, 10
12/11/2013, 29, 48, 40, 37, 14, 11, 2
15/11/2013, 13, 42, 3, 15, 29, 4, 1
19/11/2013, 45, 14, 19, 36, 15, 1, 10
22/11/2013, 40, 26, 13, 25, 50, 8, 9
26/11/2013, 44, 27, 23, 42, 19, 5, 3
29/11/2013, 10, 23, 7, 2, 43, 4, 7
03/12/2013, 32, 6, 29, 15, 13, 2, 9
06/12/2013, 18, 31, 36, 2, 1, 7, 10
10/12/2013, 49, 50, 24, 6, 35, 7, 1
13/12/2013, 24, 22, 23, 1, 31, 6, 11
17/12/2013, 41, 6, 8, 37, 27, 7, 10
20/12/2013, 13, 22, 17, 43, 12, 10, 3
24/12/2013, 5, 31, 43, 50, 19, 6, 2
27/12/2013, 1, 22, 6, 13, 28, 10, 5
31/12/2013, 29, 45, 24, 20, 13, 7, 3
03/01/2014, 3, 44, 27, 38, 31, 3, 8
07/01/2014, 2, 45, 20, 27, 33, 6, 10
10/01/2014, 1, 27, 2, 11, 29, 10, 1
14/01/2014, 25, 18, 20, 26, 37, 11, 10
17/01/2014, 26, 19, 33, 42, 32, 10, 4
21/01/2014, 4, 42, 35, 48, 12, 5, 8
24/01/2014, 19, 41, 35, 34, 5, 1, 5
28/01/2014, 18, 23, 48, 20, 42, 2, 9
31/01/2014, 10, 15, 31, 8, 16, 8, 9
04/02/2014, 37, 1, 33, 21, 38, 8, 4
07/02/2014, 17, 19, 47, 3, 46, 9, 10
11/02/2014, 47, 25, 8, 17, 41, 1, 2
14/02/2014, 19, 39, 4, 2, 6, 2, 7
18/02/2014, 36, 37, 26, 23, 49, 6, 7
21/02/2014, 28, 13, 17, 30, 32, 5, 7
25/02/2014, 42, 21, 25, 28, 35, 6, 4
28/02/2014, 38, 44, 32, 12, 43, 2, 7
04/03/2014, 3, 22, 5, 27, 44, 6, 1
07/03/2014, 38, 10, 40, 5, 41, 1, 8
11/03/2014, 1, 4, 44, 33, 23, 8, 7
14/03/2014, 30, 24, 6, 27, 25, 9, 5
18/03/2014, 27, 36, 34, 8, 39, 5, 10
21/03/2014, 37, 7, 39, 30, 42, 7, 5
25/03/2014, 28, 50, 26, 7, 20, 8, 2
28/03/2014, 3, 43, 19, 28, 4, 3, 7
01/04/2014, 44, 38, 18, 16, 26, 10, 8
04/04/2014, 50, 45, 28, 6, 10, 10, 11
08/04/2014, 42, 11, 29, 18, 49, 11, 4
11/04/2014, 8, 33, 30, 12, 19, 4, 11
15/04/2014, 14, 50, 47, 26, 3, 7, 11
18/04/2014, 21, 47, 31, 39, 24, 3, 7
